,accuracy,precision,recall,f1,roc_auc,C,penalty,solver
261,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,,newton-cholesky
262,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,,sag
263,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,,saga
264,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l2,lbfgs
265,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l2,liblinear
266,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l2,newton-cg
267,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l2,newton-cholesky
268,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l2,sag
269,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l2,saga
271,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l1,liblinear
275,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,l1,saga
282,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,,lbfgs
284,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,,newton-cg
285,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,,newton-cholesky
286,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,,sag
287,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000000.0,,saga
144,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878007,10.0,l2,lbfgs
145,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878007,10.0,l2,liblinear
146,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878007,10.0,l2,newton-cg
147,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878007,10.0,l2,newton-cholesky
