,accuracy,precision,recall,f1,roc_auc,C,degree,gamma,kernel
341,0.8680676328502417,1.0,0.6378676470588236,0.7748994428304773,0.986563677195016,0.0774263682681127,8,0.0021544346900318843,rbf
120,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,1e-05,linear
123,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,5.994842503189409e-05,linear
126,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,0.00035938136638046257,linear
129,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,0.0021544346900318843,linear
132,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,0.01291549665014884,linear
135,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,0.0774263682681127,linear
138,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,0.4641588833612782,linear
141,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,2.782559402207126,linear
144,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,16.68100537200059,linear
147,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,1,100.0,linear
150,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,1e-05,linear
153,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,5.994842503189409e-05,linear
156,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,0.00035938136638046257,linear
159,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,0.0021544346900318843,linear
162,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,0.01291549665014884,linear
165,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,0.0774263682681127,linear
168,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,0.4641588833612782,linear
171,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,2.782559402207126,linear
174,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,16.68100537200059,linear
177,0.8681159420289856,0.9923076923076924,0.6441176470588236,0.7774741554741554,0.9879907997681832,0.00035938136638046257,8,100.0,linear
317,0.9428502415458936,0.9471721583370192,0.8970588235294118,0.9194741879965658,0.9815470153578671,0.0774263682681127,1,0.0774263682681127,rbf
347,0.9428502415458936,0.9471721583370192,0.8970588235294118,0.9194741879965658,0.9815470153578671,0.0774263682681127,8,0.0774263682681127,rbf
28,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,1e-05,1,100.0,poly
85,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,5.994842503189409e-05,1,16.68100537200059,poly
142,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,0.00035938136638046257,1,2.782559402207126,poly
199,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,0.0021544346900318843,1,0.4641588833612782,poly
256,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,0.01291549665014884,1,0.0774263682681127,poly
313,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,0.0774263682681127,1,0.01291549665014884,poly
370,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,0.4641588833612782,1,0.0021544346900318843,poly
427,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,2.782559402207126,1,0.00035938136638046257,poly
484,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,16.68100537200059,1,5.994842503189409e-05,poly
541,0.9428502415458938,0.99375,0.8492647058823529,0.9142832103010076,0.9875833091857432,100.0,1,1e-05,poly
314,0.945072463768116,0.9875,0.8613970588235293,0.9183645970269998,0.9869784120544768,0.0774263682681127,1,0.01291549665014884,rbf
344,0.945072463768116,0.9875,0.8613970588235293,0.9183645970269998,0.9869784120544768,0.0774263682681127,8,0.01291549665014884,rbf
557,0.9472463768115942,0.91140780873753,0.9518382352941176,0.9297873078850308,0.979911619820342,100.0,1,0.0774263682681127,rbf
587,0.9472463768115942,0.91140780873753,0.9518382352941176,0.9297873078850308,0.979911619820342,100.0,8,0.0774263682681127,rbf
485,0.9472463768115942,0.99375,0.8610294117647058,0.9217636599588768,0.989454143726456,16.68100537200059,1,5.994842503189409e-05,rbf
515,0.9472463768115942,0.99375,0.8610294117647058,0.9217636599588768,0.989454143726456,16.68100537200059,8,5.994842503189409e-05,rbf
