,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
425,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9902220370906984,30,3,distance
396,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9905326354679802,28,3,uniform
153,0.947294685990338,0.971185316231756,0.8852941176470589,0.9244493427701076,0.9858265720081136,10,7,distance
372,0.947294685990338,0.9807247899159665,0.8738970588235293,0.9224432871540768,0.9878124094465374,26,5,uniform
441,0.947294685990338,0.9808333333333332,0.8735294117647058,0.9226449000573028,0.988535931614025,31,4,distance
342,0.947294685990338,0.9870833333333332,0.8676470588235293,0.9224493966359928,0.9876457910750508,24,4,uniform
370,0.947294685990338,0.9870833333333332,0.8676470588235293,0.9224493966359928,0.9896859605911328,26,4,uniform
36,0.9473429951690822,0.9933333333333334,0.8617647058823529,0.9215952730065634,0.9636183352651404,2,5,uniform
302,0.9493236714975846,0.9804166666666668,0.8786764705882353,0.9260539909663936,0.984777057374674,21,5,uniform
303,0.9493236714975846,0.9804166666666668,0.8786764705882353,0.9260539909663936,0.9860366560417272,21,5,distance
219,0.9493719806763286,0.9752100840336136,0.8852941176470589,0.9266221380856924,0.9853430165169516,15,5,distance
274,0.9493719806763286,0.9808333333333332,0.8790441176470587,0.9260539909663936,0.9838742393509128,19,5,uniform
275,0.9493719806763286,0.9808333333333332,0.8790441176470587,0.9260539909663936,0.9850097797739784,19,5,distance
289,0.9493719806763286,0.9808333333333332,0.8790441176470587,0.9260539909663936,0.9856182990437552,20,5,distance
345,0.9493719806763286,0.9808333333333332,0.8790441176470587,0.9262617133515354,0.9869059692842654,24,5,distance
276,0.9493719806763286,0.9808333333333332,0.8790441176470589,0.9260539909663936,0.9842545638945231,19,6,uniform
291,0.9493719806763286,0.9808333333333332,0.8790441176470589,0.9260539909663936,0.9850025354969574,20,6,distance
278,0.9493719806763286,0.9808333333333332,0.8790441176470589,0.9260539909663936,0.985372899159664,19,7,uniform
279,0.9493719806763286,0.9808333333333332,0.8790441176470589,0.9260539909663936,0.985408215010142,19,7,distance
174,0.9493719806763286,0.9869747899159664,0.8731617647058822,0.9254541488958816,0.9871069979716024,12,4,uniform
261,0.9493719806763286,0.9870833333333332,0.8727941176470587,0.925637324299727,0.9855241234424804,18,5,distance
106,0.9494202898550724,0.9645676691729322,0.8970588235294118,0.9276923995236008,0.9824896769052448,7,5,uniform
107,0.9494202898550724,0.9645676691729322,0.8970588235294118,0.9276923995236008,0.9838144740654884,7,5,distance
134,0.9494202898550724,0.9708176691729322,0.8911764705882353,0.927496896102291,0.985889053897421,9,5,uniform
151,0.9494202898550724,0.9708176691729322,0.8911764705882353,0.927496896102291,0.9864423355549116,10,6,distance
179,0.9494202898550724,0.9708176691729322,0.8911764705882353,0.927496896102291,0.9865419443639524,12,6,distance
135,0.9494202898550724,0.9708176691729322,0.8911764705882353,0.927496896102291,0.9869639235004346,9,5,distance
329,0.9494202898550724,0.9808333333333332,0.8794117647058822,0.9260723194121414,0.9876648073022312,23,4,distance
332,0.9494202898550724,0.9808333333333332,0.8794117647058822,0.9262800417972832,0.9845850840336136,23,6,uniform
347,0.9494202898550724,0.9808333333333332,0.8794117647058822,0.9262800417972832,0.9870635323094756,24,6,distance
360,0.9494202898550724,0.9808333333333332,0.8794117647058822,0.9262800417972832,0.9872437337003768,25,6,uniform
361,0.9494202898550724,0.9808333333333332,0.8794117647058822,0.9262800417972832,0.988090408577224,25,6,distance
401,0.9494202898550724,0.98125,0.8794117647058822,0.9262617133515354,0.9868806143146914,28,5,distance
481,0.9494202898550724,0.9875,0.8731617647058822,0.9256373242997268,0.9887460156476384,34,3,distance
495,0.9494202898550724,0.9875,0.8731617647058822,0.9256373242997268,0.9889361779194434,35,3,distance
467,0.9494202898550724,0.9875,0.8731617647058822,0.9256373242997268,0.9893798898869892,33,3,distance
